,,,,G.C.E. O/L,,,,,,,Eligible Streams,,,,,,
Course Code,Course of Study,Stream,University Letter,Sinhala Language,English,Mathematics,Science,Tamil Language,Practical/Aptidude Test,All Island Merit only,Art Eligible,Commerce Eligible,Biological Science Eligible,Physical Science Eligible,Engieneering Technology Eligible,Biosystems Technology Eligible,Intake
1,Medicine,Biological Science,A B C D E F G H K L M U,,,,,,,,,,Yes,,,,2095
2,Dental Surgery,Biological Science,B C,,,,,,,,,,Yes,,,,130
3,Veterinary Science,Biological Science,B,,,,,,,,,,Yes,,,,110
4,Agriculture,Biological Science,E H K L M,,,,,,,,,,Yes,,,,845
5,Food Science & Nutrition,Biological Science,M,,,,,,,,,,Yes,,,,165
6,Biological Science,Biological Science,A B C D E F H J,,,,,,,,,,Yes,,,,1683
7,Applied Sciences (Biological Science),Biological Science,K L R,,,,,,,,,,Yes,,,,425
8,Engineering  ,Physical Science,B C E F G J,,,,,,,,,,,Yes,,,2238
9,Engineering (EM),Physical Science,G,,,,,,,,,,,Yes,,,80
10,Engineering (TM),Physical Science,G,,,,,,,,,,,Yes,,,98
11,Quantity Surveying ,Common Stream,G,,C,C,S,,,,Yes,Yes,,Yes,,,152
12,Computer Science,Physical Science,C D E F T W,,,,,,,,,,,Yes,,,686
13,Physical Science,Physical Science,A B C D E F H J,,,,,,,,,,,Yes,,,2262
14,Surveying Science,Physical Science,L,,,,,,,,,,,Yes,,,165
15,Applied Sciences (Physical Science),Physical Science,K L M R W,,,,,,,,,,,Yes,,,778
16,Management,Commerce,A B C D E F H J K L M,,,,,,,,,Yes,,,,,5424
17,Real Estate Management and Valuation,Commerce,C D E F T W,,,,,,,,,Yes,,,,,70
18,Commerce,Commerce,C D E H J,,,,,,,,,Yes,,,,,884
19,Arts (including Additional Intake),Art,A B C D E F H J K,,,,,,,Yes,Yes,,,,,,6983
20,Arts (SP) - Mass Media,Art,S,,S,,,,Yes,Yes,Yes,,,,,,110
21,Arts (SAB),Art,L,,,,,,,Yes,Yes,Yes,,,,,350
22,Management Studies (TV),Commerce,W R,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,458
23,Architecture,Common Stream,G,,S,C,,,Yes,,Yes,Yes,Yes,Yes,,,100
24,Design ,Common Stream,G,,S,C,C,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,87
25,Law,Common Stream,A B E,,C,,,,,,Yes,Yes,Yes,Yes,,,495
26,Information Technology (IT),Common Stream,G,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,251
27,Management and Information Technology (MIT),Common Stream,D,,C,B,,,,,,,Yes,Yes,,,119
28,Management and Public Policy,Commerce,C,,,,,,,,,Yes,,,,,100
29,Communication Studies,Art,W,,C,,,,,,Yes,,,,,,200
30,Urban Informatics and Planning,Common Stream,G,,B,C,,,,,Yes,Yes,Yes,Yes,,,88
31,Peace and Conflict Resolution,Art,D,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,33
32,Ayurveda Medicine and Surgery,Biological Science,A P,,,,,,,,,,Yes,,,,383
33,Unani Medicine and Surgery,Biological Science,A,,,,,,,,,,Yes,,,,89
34,Fashion Design & Product Development,Common Stream,G,,C,C,C,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,79
35,Food Science & Technology,Biological Science,B C L,,,,,,,,,,Yes,,,,220
36,Siddha Medicine and Surgery,Biological Science,E W,,,,,,,,,,Yes,,,,247
37,Nursing,Biological Science,A B C E F H,,S,,,,,,,,Yes,,,,573
38,Information and Communication Technology (ICT),Common Stream,K R,,C,C,,,,,Yes,Yes,Yes,Yes,Yes,Yes,285
39,Agricultural Technology & Management,Biological Science,B,,,,,,,,,,Yes,,,,221
41,Arts (SP) - Performing Arts,Art,S,,S,,,,Yes,Yes,Yes,,,,,,110
50,Health Promotion,Biological Science,K,,,,,,,,,,Yes,,,,103
51,Pharmacy,Biological Science,B C E F,,S,,,,,,,,Yes,,,,239
52,Medical Laboratory Sciences,Biological Science,B C E F,,S,,,,,,,,Yes,,,,226
53,Radiography,Biological Science,B,,S,,,,,,,,Yes,,,,68
54,Physiotherapy,Biological Science,A B,,S,,,,,,,,Yes,Yes,,,111
55,Environmental Conservation & Management,Biological Science,D,,,,,,,,,,Yes,,,,109
56,Facilities Management,Common Stream,G,,C,C,C,,,,,Yes,,Yes,,,81
57,Transport Management & Logistics Engineering (TMLE),Physical Science,G,,,,,,,,,,,Yes,,,91
58,Biochemistry & Molecular Biology  ,Biological Science,A,,,,,,,,,,Yes,,,,80
59,Industrial Statistics & Mathematical Finance,Physical Science,A,,,,,,,,,,,Yes,,,121
60,Statistics & Operations Research,Physical Science,B,,,,,,,,,,,Yes,,,79
62,Fisheries & Marine  Sciences,Biological Science,F,,,,,,,,,,Yes,,,,150
63,Islamic Studies  ,Art,J,,,,,,,Yes,Yes,,,,,,278
64,Science and Technology,Common Stream,U,,,,,,,,,,Yes,Yes,,,107
65,Computer Science & Technology,Common Stream,U,,,,,,,,,,Yes,Yes,,,101
66,Entrepreneurship and Management ,Common Stream,U,,,,,,,,,Yes,Yes,Yes,,,101
67,Animal Production and Food Technology,Biological Science,U,,,,,,,,,,Yes,,,,108
68,Music,Art,C E Y Z,,,,,,Yes,,Yes,,,,,,570
69,Dance,Art,E Y Z,,,,,,Yes,,Yes,,,,,,494
70,Art & Design,Art,E,,,,,,Yes,,Yes,,,,,,50
71,Drama & Theatre,Art,Y Z,,,,,,Yes,,Yes,,,,,,178
72,Visual & Technological Arts,Art,Y,,,,,,Yes,,Yes,,,,,,94
73,Export Agriculture,Biological Science,U,,,,,,,,,,Yes,,,,105
75,Industrial Information Technology  ,Common Stream,U,,C,C,,,,,Yes,Yes,Yes,Yes,Yes,Yes,100
76,Mineral Resources and Technology  ,Common Stream,U,,,,,,,,,,Yes,Yes,,,106
77,Business Information Systems (Honours) (BIS),Commerce,C,,,,,,,,,Yes,,,,,80
79,Management and Information Technology (SEUSL)  ,Common Stream,J,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,170
81,Physical Education  ,Common Stream,E L,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,150
82,Sports Science & Management  ,Common Stream,C D L,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,228
83,Speech and Hearing Sciences   ,Biological Science,D,,S,,,,,,,,Yes,,,,75
84,Arabic Language,Art,J,,,,,,,Yes,Yes,,,,,,225
85,Visual Arts,Art,Z,,,,,,Yes,,Yes,,,,,,120
86,Animal Science & Fisheries  ,Biological Science,B,,,,,,,,,,Yes,,,,74
87,Food Production & Technology Management  ,Biological Science,M,,,,,,,,,,Yes,,,,140
88,Aquatic Resources Technology ,Biological Science,U,,,,,,,,,,Yes,,,,114
90,"Hospitality, Tourism and Events Management  ",Common Stream,U,,,,,,,,,Yes,Yes,Yes,,,107
91,Information Technology & Management  ,Common Stream,G,,C,C,,,,,Yes,Yes,Yes,Yes,,,127
92,Tourism & Hospitality Management ,Common Stream,K L,,,,,,,,Yes,Yes,Yes,Yes,,,181
93,Agricultural Resource Management and Technology,Biological Science,F,,,,,,,,,,Yes,,,,181
94,Agribusiness Management ,Biological Science,F,,,,,,,,,,Yes,,,,78
95,Green Technology ,Biological Science,F,,C,,,,,,,,Yes,,,,72
96,Information Systems ,Common Stream,C L T,,C,C,,,,,Yes,Yes,Yes,Yes,Yes,Yes,350
97,Landscape Architecture ,Common Stream,G,,S,C,,,Yes,,Yes,Yes,Yes,Yes,,,81
98,Translation Studies    ,Common Stream,D E H L,B,B,,,B,,,Yes,,,,,,158
99,Software Engineering  ,Common Stream,C D L,,,,,,,,,,,Yes,,,186
100,Film & Television Studies    ,Common Stream,D,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,60
101,Project Management   ,Common Stream,R,,,,,,,,Yes,Yes,Yes,,Yes,Yes,101
102,Engineering Technology (ET),Engineering Technology,A C D E F K L M U,,,,,,,,,,,,Yes,,1336
103,Biosystems Technology (BST),Biosystems Technology,A C D E F H J K L M U,,,,,,,,,,,,,Yes,1324
104,Information Communication Technology,Common Stream,A C F H J K R U,,,,,,,,,,,,,,1020
105,Teaching English as a Second  Language (TESL),Art,C D L,,,,,,,Yes,Yes,,,,Yes,Yes,150
106,Marine and Fresh Water Sciences,Common Stream,F,,,,,,,,,,Yes,Yes,,,100
107,Food Business Management,Common Stream,L,,C,C,C,,,,,Yes,Yes,Yes,,,135
108,Physical Science - ICT,Physical Science,C D,,,,,,,,,,,Yes,,,156
109,Business Science,Common Stream,G,,,C,,,,,,Yes,,Yes,,,150
110,Financial Engineering,Common Stream,D,,C,C,,,,,Yes,Yes,,,,,80
111,Geographical Information Science,Common Stream,B,,,,,,,,Yes,,Yes,Yes,,,75
112,Social Work,Art,B C,,,,,,,Yes,Yes,,,,,,101
113,Financial Mathematics and Industrial Statistics,Common Stream,F,,,,,,,,Yes,Yes,,Yes,,,50
114,Human Resource Development  ,Common Stream,U,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,85
115,Occupational Therapy,Biological Science,D,,,,,,,,,,Yes,,,,50
116,Optometry,Biological Science,C,,,,,,,,,,Yes,,,,60
117,Artificial Intelligence,Physical Science,G,,,,,,,,,,,Yes,,,50
118,Applied Chemistry,Biological Science,D,,,,,,,,,,Yes,Yes,,,60
119,Electronics and Computer Science,Physical Science,D,,,,,,,,,,,Yes,,,80
120,Indigenous Medicinal Resources,Biological Science,P,,,,,,,,,,Yes,,,,70
121,Health Information and Communication Technology,Common Stream,P,,,,,,,,,,,,Yes,Yes,70
